,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
76,52.56434452,20653.62143,-63.96854569,-89.76591545,2.196115095,0.001122449,226.7474754,15.31146997,497.3818942,497.406823,497.382764
77,50.53785163,20901.93964,-63.60359145,-89.75442424,2.094035111,0.00137229,222.3484893,15.28631779,504.1397356,504.1663073,504.1413606
78,48.58859236,21156.50035,-63.18821092,-89.71030126,1.997508173,0.001666779,220.3198409,15.31604538,511.2879871,511.3198583,511.2891148
79,46.67950352,21422.42305,-62.73561637,-89.64697603,1.880365086,0.001905955,219.7341772,15.06543393,518.9344786,518.9673508,518.9354633
80,44.86218746,21676.13711,-62.28920158,-89.58999843,1.787383904,0.002300295,219.7641527,14.97836609,526.3371352,526.373776,526.3386098
81,43.18480387,21924.50709,-61.82171966,-89.5024982,1.699179202,0.002639055,216.393365,15.00346837,533.7252888,533.7652451,533.7267438
82,41.45033473,22187.46808,-61.30560963,-89.38459511,1.620141048,0.003018157,213.5344354,15.03296653,541.6985586,541.7424173,541.7008619
83,39.76430059,22465.08087,-60.80904672,-89.27254446,1.527614895,0.003492361,212.9765938,15.15851501,550.1420142,550.1895818,550.1435451
84,38.03305442,22748.62924,-60.23162654,-89.12190613,1.459430511,0.004202381,208.2105578,15.57144893,559.0625085,559.1171119,559.0644697
85,36.50037252,23010.38737,-59.74628988,-88.99074511,1.39010882,0.004662252,207.8118644,15.76511924,567.1389492,567.1976073,567.1410544
86,34.99042107,23298.56639,-59.26130617,-88.85160422,1.328758532,0.005334514,208.4611793,16.02306967,576.0999425,576.16408,576.1020694
87,33.51070023,23567.81654,-58.79508604,-88.71636674,1.283326826,0.005925629,210.171611,16.43525605,584.5121903,584.580457,584.5150312
88,32.12689656,23848.85863,-58.29416528,-88.55533822,1.235493148,0.006586229,211.6197661,16.68301484,593.5404046,593.6153098,593.5434755
89,30.83912392,24114.83724,-57.77046719,-88.38063198,1.18545157,0.007308811,210.2028915,17.11386126,602.2009347,602.2867048,602.2035446
90,29.57338318,24382.60717,-57.24827826,-88.18457015,1.145496088,0.008309787,209.7094763,17.251613,611.1241752,611.2162693,611.1273135
91,28.42378856,24611.28908,-56.82550659,-88.03560458,1.114997348,0.008747349,207.8593793,17.70816429,618.5555966,618.6548605,618.5581147
92,27.40209534,24840.30496,-56.43947651,-87.95018183,1.078524816,0.009266213,209.793239,18.245374,626.027026,626.1329456,626.0309384
93,26.24072765,25143.17262,-55.91437622,-87.81039499,1.031747474,0.010273282,210.0715646,18.51779025,636.3050334,636.4237161,636.3095083
94,25.22019465,25375.30413,-55.47966426,-87.62796854,1.008712859,0.011259433,214.6818839,18.80355451,644.3025542,644.4316872,644.308212
95,24.23691466,25640.88851,-55.01668579,-87.43844369,0.979997997,0.012071269,214.9567446,19.27327688,653.4066235,653.5441849,653.4123215
