,palma,pure-40,pure-42,pure-45,palma_clean,pure_clean,palma_re-ordered,pure_re-ordered,palma_froz_frac,pure_froz_frac
121,-29.289694223138447,-31.230603786758145,-32.45199141823223,,-24.770790878655603,-35.61941474526728,-23.779355514925,-28.1952491535814,0.145803822928851,0.1574327398137714
122,-24.770790878655603,-32.18971899239403,-24.24966927846611,,-28.10911614694735,-36.34750561299545,-23.794796928673506,-28.207326890028476,0.14709439177883904,0.1587911628752153
123,-28.10911614694735,-35.61941474526728,-32.20502088093584,,-28.248662582502472,-32.81927796975321,-23.817732806436425,-28.21135236650937,0.14843321859984868,0.16010499331285846
124,-28.248662582502472,-36.34750561299545,-29.11613985930167,,-27.531191541211285,-33.14958347360684,-23.82424462862707,-28.2343114141531,0.14967116993810706,0.16152751052431275
125,-27.531191541211285,-32.81927796975321,-29.228775199079003,,-25.993772443726694,-36.09601073813426,-23.866311184618915,-28.264341398391288,0.1511349284299727,0.16299290550454484
126,-25.993772443726694,-33.14958347360684,-36.95703946942641,,-27.837264455510002,-33.19166672613036,-23.879689720770546,-28.264341398391288,0.15241980480151934,0.16428649999267614
127,-27.837264455510002,-36.09601073813426,-24.581893994579016,,-27.457289450606545,-36.158912568713376,-23.887030681253655,-28.32300834657395,0.1536671857328693,0.16592378120203913
128,-27.457289450606545,-33.19166672613036,-23.679819238060304,,-25.675539616469088,-35.97923828460112,-23.89668910699736,-28.345239955006765,0.15493032946688434,0.16735131695907673
129,-25.675539616469088,-36.158912568713376,-30.429534590444003,,-25.698408788795398,-35.491683440639946,-23.89668910699736,-28.47590934825874,0.1561313397728292,0.16942607123118802
130,-25.698408788795398,-35.97923828460112,-34.45341597123683,,-25.55166251551229,-32.606699174405044,-23.897898988316204,-28.50050714480829,0.15734031576265425,0.1708768265485779
131,-25.55166251551229,9.73921537686706,-33.90088515272,,-27.457289450606545,-35.69001505125131,-23.91768123452226,-28.500961880072005,0.1586726245523718,0.17218397701462856
132,-27.457289450606545,-35.491683440639946,-27.404272916583672,,-25.55166251551229,-35.61941474526728,-23.933120680443025,-28.51978589966555,0.1599778928970898,0.17360298490205617
133,-25.55166251551229,-32.606699174405044,-33.75790115272001,,-25.76893128937102,-36.9155776324493,-23.933120680443025,-28.551923373351627,0.1611807341970679,0.17510536559885742
134,-25.76893128937102,-35.69001505125131,-22.74439383486509,,-29.089545858453207,-34.002476774893125,-23.955006001435002,-28.586826171978537,0.16253206497825612,0.17662777396721663
135,-29.089545858453207,-35.61941474526728,-32.638193824788296,,-25.254985313697567,-31.134757132430387,-23.955006001435002,-28.612788835877392,0.1637360062003173,0.17809773011430324
136,-25.254985313697567,-36.9155776324493,-37.37980295538369,,-29.716411248240757,-34.10869962356725,-23.958714863326044,-28.619945219397117,0.1649654844431276,0.17945214404429333
137,-29.716411248240757,-34.002476774893125,-27.158918698027886,,-22.25998744476266,-35.64186345841001,-23.96346745128876,-28.622404971081938,0.16620257442319455,0.1807775493663913
138,-22.25998744476266,-31.134757132430387,-40.7639184494783,,-25.84609061626105,-34.261384324140614,-23.972067377851726,-28.626554515503706,0.16746701933018543,0.18211392981971142
139,-25.84609061626105,-34.10869962356725,-27.404272916583672,,-27.711490455510003,-32.7966904375609,-23.987473200751396,-28.641106448937098,0.1687802161971432,0.18351734321256888
140,-27.711490455510003,-35.64186345841001,-38.13832330324069,,-27.203085304810696,-30.886170664065347,-24.00935430867538,-28.675349137169,0.17014084832803483,0.18504915795980123
141,-27.203085304810696,-34.261384324140614,-31.273010473159058,,-19.126594020027568,-33.530725076084394,-24.040659564992257,-28.681965512660447,0.17157093718457356,0.18640456326800334
142,-19.126594020027568,-32.7966904375609,-32.28353979483882,,-27.00879801700825,-29.865792260304257,-24.05530550823742,-28.735911375935878,0.17288444298338693,0.18807033548753518
143,-27.00879801700825,-30.886170664065347,-31.496383485560965,,-20.019940971360782,-33.14471772580435,-24.075410759584265,-28.735911375935878,0.1742389311348362,0.18938551265877668
144,-20.019940971360782,-33.530725076084394,-31.995315189446,,-26.384694967455996,-31.134757132430387,-24.08174831485624,-28.758016304803917,0.17549510847978755,0.19084738520113867
145,-26.384694967455996,-29.865792260304257,-0.21234285552230675,,-27.953630919860295,-36.65193725120575,-24.0923230570254,-28.804746461821765,0.17678301419866677,0.19247582905096008
146,-27.953630919860295,-33.14471772580435,-29.351404867209865,,-29.600804483607384,-35.803085155175545,-24.09772293390459,-28.804746461821765,0.17803375100140445,0.19379415664719954
147,-29.600804483607384,-31.134757132430387,-0.21234285552230675,,-26.384694967455996,-30.865718889526008,-24.101420745213996,-28.819740128023994,0.17927237019529005,0.19521404568104833
148,-26.384694967455996,-36.65193725120575,-33.14094033427467,,-27.251073208756793,-34.10869962356725,-24.121851285183148,-28.82771313743145,0.1806366642456803,0.1965874305671249
149,-27.251073208756793,-35.803085155175545,-33.614128152288,,-24.13540437300949,-32.34449438177295,-24.129977343239393,-28.834450337169002,0.18191025130104777,0.19795306123733394
150,-24.13540437300949,-30.865718889526008,-29.351404867209865,,-25.442044778472443,-21.357549332598666,-24.13482991762217,-28.84419592239431,0.18315981261501063,0.19934009932914254
151,-25.442044778472443,-34.10869962356725,-0.21234285552230675,,-22.50833131534808,-26.539881288881734,-24.13540437300949,-28.888526037516247,0.18437717993367084,0.20096862346431174
152,-22.50833131534808,,-0.21234285552230675,,-22.487238855290244,-32.11328840980662,-24.1385460502919,-28.902017555505452,0.1856143457534737,0.20238525929332402
153,-22.487238855290244,,-30.21292118528551,,-22.50833131534808,-28.804746461821765,-24.139449683867422,-28.906892875180887,0.1868345053548674,0.20374240113542977
154,-22.50833131534808,,-25.186728718841405,,-21.104478245353487,-22.090223520492,-24.143622845283844,-28.906892875180887,0.18808022559864862,0.20506540374020527
155,-21.104478245353487,,-36.37619001844592,,-27.44155441827558,-29.709663041192535,-24.145559199005497,-28.9566576908213,0.18930882803514418,0.20674371540695527
156,-27.44155441827558,,-30.83471229031348,,-24.396064015648065,-29.564170178121078,-24.148764272914427,-28.98997042514904,0.19054763603968491,0.20830836535840563
157,-24.396064015648065,,-30.27246876362058,,-26.46922146549385,-28.804746461821765,-24.15274632351366,-29.006022690607825,0.1917929360507491,0.20975124897890512
158,-26.46922146549385,,-31.671360756900004,,-25.261695519438,-24.994104280709116,-24.188717833704363,-29.01111212829649,0.1932942670363858,0.21111582471161666
159,-25.261695519438,,-28.02696745219981,,-24.65250232906801,-31.836650802084588,-24.189304271935004,-29.01111212829649,0.1945146700057134,0.21244359719407965
160,-24.65250232906801,,-30.5942113623017,,-24.00935430867538,-29.564170178121078,-24.190196014796978,-29.040049991083155,0.19573760232761556,0.21398460130089614
